Tanggal;Username;Clean Dataset
2022-02-22 14:46:21+00:00;elisa_jkt;netijen tidak repot cek scopus lala jurnal butuh kisar tahan konus tuh kg cm kalau ngomong orang perintah tuh lihat nama lembaga ya karena tidak ada informasi publik kondisi geologis ikn
2022-02-22 13:09:04+00:00;tvOneNews;jokowi isyarat calon kepala ikn kalang nonpartai nama bambang susantono cuat
2022-02-22 12:45:58+00:00;tribunnews;jokowi kejut nama kepala otorita ikn
2022-02-22 12:19:49+00:00;pejuanghijrah31;wkwkkww ikn baru babat lahan sudah nama kepala otorita wkwkkw
2022-02-22 11:19:10+00:00;inandseta;cerewet mar kritik ikn nyodor nyodorin nama calon kepala ikn
2022-02-22 08:27:31+00:00;voidotid;presiden joko widodo umum nama kepala badan otorita ibu kota negara ikn nusantara lantik pekan
2022-02-22 08:24:49+00:00;SomarwaneSefnat;isi kepala pesimis napa tokoh dunia korban nama baik mangkraknya ikn ya mar pks ikut megang proyek br dukung puji ya mar kelas jabat isi kepala negatif sj mar
2022-02-22 07:23:54+00:00;kabarriaucom;kabar lantik minggu nama kepala otorita ikn kantong
2022-02-22 07:19:34+00:00;ayya_pratiwii;ernest prakasa sorot nama ikn baru nusantara makna indonesia janggal
2022-02-22 07:10:03+00:00;lawjusticeco;pekan lantik nama jadi kepala otorita ikn
2022-02-22 04:30:10+00:00;Annisty3;nama nusantara ibu kota negara ikn republik indonesia representasi konsep satu akomodasi kaya majemuk indonesia vaksin tingkat kebal patuhhindarikerumunan
2022-02-22 02:17:40+00:00;Masriya67427692;dah duga gitu jawab dah dipikirin mateng sblm show bikin wayang aj bikin lakon sesuai issue nya jangan nama orang tuju spy tidak tuntut tuju utama dah capai bikin gaduh bin ribut skip issue wayang jht ikn minyak goreng
2022-02-21 13:01:37+00:00;ProperNET;kantong nama kepala otorita ikn nusantara jokowi umum april
2022-02-21 12:04:27+00:00;tonybulumanu;leluhur jaga nusantara bahagia putra baik nusantara abadi nama nusantara ikn
2022-02-21 11:36:59+00:00;SubangHits;tetap kepala otorita ikn nama ridwan kamil cuat kata ppp
2022-02-21 11:36:40+00:00;Jabar24Jam;tetap kepala otorita ikn nama ridwan kamil cuat kata ppp
2022-02-21 11:36:20+00:00;zonasubang;tetap kepala otorita ikn nama ridwan kamil cuat kata ppp
2022-02-21 11:35:54+00:00;TINTAHIJAUcom;tetap kepala otorita ikn nama ridwan kamil cuat kata ppp
2022-02-21 11:25:07+00:00;kumparan;bursa calon kepala otorita ikn ramai nama masuk radar basuki tjahja purnama ahok bambang brodjonegoro ridwan kamil azwar anas
2022-02-21 11:02:14+00:00;icatwps;kepala otorita ikn rangkap menteri nama nama usul
2022-02-21 10:06:16+00:00;keuangannews_id;nama pimpin ikn idam jokowi godok
2022-02-21 09:40:40+00:00;theowl168;pilih nama nagara rimba raya bukan tidak milik alas sang menang sayembara lomba desain calon ikn baru definisi kota sahabat hutan kembali kondisi jantung borneo bagai paru paru dunia
2022-02-21 09:15:41+00:00;RizaVT;ibukota republik indonesia pindah kaltim alas ibukota negara dunia ganti nama sebar ikn nusantara gantinamaibukota
2022-02-21 08:26:19+00:00;bergeloralah;ayo kocok kocok kepala otorita ikn rangkap menteri nama nama usul
2022-02-21 06:51:33+00:00;KompasTV;pkb reputasi jokowi taruh kait tunjuk nama kepala ikn
2022-02-21 05:26:49+00:00;LuqmanBeeNKRI;wakil ketua komisi ii dewan wakil rakyat luqman hakim sebut presiden joko widodo jokowi sudah kantong nama kepala otorita ibu kota negara ikn nusantara
2022-02-21 05:01:32+00:00;HopsIndonesia;ribut ribut nama calon kepala otorita ikn baru ppp ngarep banget
2022-02-21 00:18:08+00:00;TerkerenHub;reposted from ig id nama nusantara ibu kota negara ikn republik indonesia representasi konsep satu akomodasi kaya majemuk indonesia
